file,min_altitude_m,max_altitude_m,mean_altitude_m,centroid_x_l93,centroid_y_l93,centroid_lon,centroid_lat,xmin_l93,ymin_l93,xmax_l93,ymax_l93,valid_pixels,nodata_pixels
RGEALTI_FXX_0649_6859_MNT_LAMB93_IGN69.asc,54.689998626708984,71.47000122070312,65.47888946533203,649499.5,6858500.5,2.3121499929172895,48.82458598641742,648999.5,6858000.5,649999.5,6859000.5,1000000,0
RGEALTI_FXX_0649_6860_MNT_LAMB93_IGN69.asc,44.970001220703125,67.95999908447266,58.9705810546875,649499.5,6859500.5,2.3120313245315716,48.83357907594122,648999.5,6859000.5,649999.5,6860000.5,1000000,0
RGEALTI_FXX_0649_6861_MNT_LAMB93_IGN69.asc,29.770000457763672,65.93000030517578,44.51706314086914,649499.5,6860500.5,2.311912615194312,48.842572093103975,648999.5,6860000.5,649999.5,6861000.5,1000000,0
RGEALTI_FXX_0649_6862_MNT_LAMB93_IGN69.asc,28.15999984741211,40.369998931884766,36.99379348754883,649499.5,6861500.5,2.3117938648843093,48.851565037675925,648999.5,6861000.5,649999.5,6862000.5,1000000,0
RGEALTI_FXX_0649_6863_MNT_LAMB93_IGN69.asc,26.420000076293945,39.880001068115234,32.56139373779297,649499.5,6862500.5,2.3116750735803477,48.860557909427335,648999.5,6862000.5,649999.5,6863000.5,1000000,0
RGEALTI_FXX_0649_6864_MNT_LAMB93_IGN69.asc,27.020000457763672,44.689998626708984,33.243587493896484,649499.5,6863500.5,2.311556241261197,48.869550708128386,648999.5,6863000.5,649999.5,6864000.5,1000000,0
RGEALTI_FXX_0649_6865_MNT_LAMB93_IGN69.asc,27.6299991607666,53.2599983215332,43.646026611328125,649499.5,6864500.5,2.311437367905612,48.87854343354925,648999.5,6864000.5,649999.5,6865000.5,1000000,0
RGEALTI_FXX_0649_6866_MNT_LAMB93_IGN69.asc,30.190000534057617,52.189998626708984,41.03762435913086,649499.5,6865500.5,2.3113184534923326,48.887536085460056,648999.5,6865000.5,649999.5,6866000.5,1000000,0
RGEALTI_FXX_0649_6867_MNT_LAMB93_IGN69.asc,25.56999969482422,45.310001373291016,33.026554107666016,649499.5,6866500.5,2.311199498000084,48.89652866363094,648999.5,6866000.5,649999.5,6867000.5,1000000,0
RGEALTI_FXX_0650_6858_MNT_LAMB93_IGN69.asc,65.69999694824219,83.16999816894531,77.79296875,650499.5,6857500.5,2.3258862603319654,48.81567037840951,649999.5,6857000.5,650999.5,6858000.5,1000000,0
RGEALTI_FXX_0650_6859_MNT_LAMB93_IGN69.asc,49.36000061035156,81.9800033569336,68.04438018798828,650499.5,6858500.5,2.3257699815659483,48.824663552821484,649999.5,6858000.5,650999.5,6859000.5,1000000,0
RGEALTI_FXX_0650_6860_MNT_LAMB93_IGN69.asc,51.459999084472656,66.19999694824219,62.30361557006836,650499.5,6859500.5,2.325653662679832,48.83365665510457,649999.5,6859000.5,650999.5,6860000.5,1000000,0
RGEALTI_FXX_0650_6861_MNT_LAMB93_IGN69.asc,37.130001068115234,63.61000061035156,50.03278350830078,650499.5,6860500.5,2.3255373036528484,48.842649685028995,649999.5,6860000.5,650999.5,6861000.5,1000000,0
RGEALTI_FXX_0650_6862_MNT_LAMB93_IGN69.asc,30.1200008392334,42.040000915527344,36.64029312133789,650499.5,6861500.5,2.325420904464216,48.85164264236506,649999.5,6861000.5,650999.5,6862000.5,1000000,0
RGEALTI_FXX_0650_6863_MNT_LAMB93_IGN69.asc,26.0,39.540000915527344,32.298030853271484,650499.5,6862500.5,2.3253044650931383,48.860635526882994,649999.5,6862000.5,650999.5,6863000.5,1000000,0
RGEALTI_FXX_0650_6864_MNT_LAMB93_IGN69.asc,26.299999237060547,36.529998779296875,33.38688659667969,650499.5,6863500.5,2.3251879855188067,48.86962833835299,649999.5,6863000.5,650999.5,6864000.5,1000000,0
RGEALTI_FXX_0650_6865_MNT_LAMB93_IGN69.asc,28.15999984741211,59.15999984741211,42.96539306640625,650499.5,6864500.5,2.325071465720395,48.87862107654524,649999.5,6864000.5,650999.5,6865000.5,1000000,0
RGEALTI_FXX_0650_6866_MNT_LAMB93_IGN69.asc,36.31999969482422,70.87999725341797,54.300071716308594,650499.5,6865500.5,2.3249549056770644,48.88761374122986,649999.5,6865000.5,650999.5,6866000.5,1000000,0
RGEALTI_FXX_0650_6867_MNT_LAMB93_IGN69.asc,29.770000457763672,56.220001220703125,42.64872741699219,650499.5,6866500.5,2.3248383053679618,48.89660633217698,649999.5,6866000.5,650999.5,6867000.5,1000000,0
RGEALTI_FXX_0651_6858_MNT_LAMB93_IGN69.asc,35.63999938964844,83.05000305175781,68.79864501953125,651499.5,6857500.5,2.339503940390623,48.81574638110601,650999.5,6857000.5,651999.5,6858000.5,1000000,0
RGEALTI_FXX_0651_6859_MNT_LAMB93_IGN69.asc,37.75,81.88999938964844,57.03461456298828,651499.5,6858500.5,2.339390010334705,48.82473956801975,650999.5,6858000.5,651999.5,6859000.5,1000000,0
RGEALTI_FXX_0651_6860_MNT_LAMB93_IGN69.asc,37.459999084472656,66.16999816894531,51.73028564453125,651499.5,6859500.5,2.3392760409689566,48.83373268280693,650999.5,6859000.5,651999.5,6860000.5,1000000,0
RGEALTI_FXX_0651_6861_MNT_LAMB93_IGN69.asc,34.279998779296875,61.29999923706055,52.28620910644531,651499.5,6860500.5,2.3391620322730304,48.84272572523787,650999.5,6860000.5,651999.5,6861000.5,1000000,0
RGEALTI_FXX_0651_6862_MNT_LAMB93_IGN69.asc,26.770000457763672,57.29999923706055,37.608238220214844,651499.5,6861500.5,2.339047984226564,48.8517186950828,650999.5,6861000.5,651999.5,6862000.5,1000000,0
RGEALTI_FXX_0651_6863_MNT_LAMB93_IGN69.asc,26.709999084472656,38.189998626708984,33.27627944946289,651499.5,6862500.5,2.3389338968091815,48.86071159211198,650999.5,6862000.5,651999.5,6863000.5,1000000,0
RGEALTI_FXX_0651_6864_MNT_LAMB93_IGN69.asc,29.639999389648438,40.5099983215332,35.072391510009766,651499.5,6863500.5,2.3388197700004927,48.86970441609559,650999.5,6863000.5,651999.5,6864000.5,1000000,0
RGEALTI_FXX_0651_6865_MNT_LAMB93_IGN69.asc,30.40999984741211,74.9800033569336,46.59724807739258,651499.5,6864500.5,2.3387056037800935,48.87869716680383,650999.5,6864000.5,651999.5,6865000.5,1000000,0
RGEALTI_FXX_0651_6866_MNT_LAMB93_IGN69.asc,53.7599983215332,130.74000549316406,84.07350158691406,651499.5,6865500.5,2.3385913981275652,48.88768984400683,650999.5,6865000.5,651999.5,6866000.5,1000000,0
RGEALTI_FXX_0651_6867_MNT_LAMB93_IGN69.asc,37.63999938964844,64.36000061035156,52.24403381347656,651499.5,6866500.5,2.338477153022476,48.8966824474747,650999.5,6866000.5,651999.5,6867000.5,1000000,0
RGEALTI_FXX_0651_6868_MNT_LAMB93_IGN69.asc,26.110000610351562,46.060001373291016,37.698280334472656,651499.5,6867500.5,2.33836286844438,48.90567497697752,650999.5,6867000.5,651999.5,6868000.5,1000000,0
RGEALTI_FXX_0652_6858_MNT_LAMB93_IGN69.asc,37.72999954223633,75.12999725341797,52.14000701904297,652499.5,6857500.5,2.3531216597387745,48.815820832845354,651999.5,6857000.5,652999.5,6858000.5,1000000,0
RGEALTI_FXX_0652_6859_MNT_LAMB93_IGN69.asc,37.279998779296875,64.77999877929688,52.83367919921875,652499.5,6858500.5,2.3530100784132895,48.82481403200574,651999.5,6858000.5,652999.5,6859000.5,1000000,0
RGEALTI_FXX_0652_6860_MNT_LAMB93_IGN69.asc,33.16999816894531,64.33999633789062,47.01688003540039,652499.5,6859500.5,2.3528984585882577,48.833807159041896,651999.5,6859000.5,652999.5,6860000.5,1000000,0
RGEALTI_FXX_0652_6861_MNT_LAMB93_IGN69.asc,30.290000915527344,60.790000915527344,43.0677490234375,652499.5,6860500.5,2.3527868002437504,48.84280021372411,651999.5,6860000.5,652999.5,6861000.5,1000000,0
RGEALTI_FXX_0652_6862_MNT_LAMB93_IGN69.asc,26.850000381469727,55.25,33.97978210449219,652499.5,6861500.5,2.352675103359826,48.85179319582268,651999.5,6861000.5,652999.5,6862000.5,1000000,0
RGEALTI_FXX_0652_6863_MNT_LAMB93_IGN69.asc,26.829999923706055,38.0099983215332,35.05501937866211,652499.5,6862500.5,2.3525633679165288,48.8607861051078,651999.5,6862000.5,652999.5,6863000.5,1000000,0
RGEALTI_FXX_0652_6864_MNT_LAMB93_IGN69.asc,31.600000381469727,46.400001525878906,35.879547119140625,652499.5,6863500.5,2.3524515938938872,48.86977894134971,651999.5,6863000.5,652999.5,6864000.5,1000000,0
RGEALTI_FXX_0652_6865_MNT_LAMB93_IGN69.asc,32.81999969482422,67.4000015258789,48.397705078125,652499.5,6864500.5,2.3523397812719185,48.878771704318545,651999.5,6864000.5,652999.5,6865000.5,1000000,0
RGEALTI_FXX_0652_6866_MNT_LAMB93_IGN69.asc,41.900001525878906,101.23999786376953,59.90787887573242,652499.5,6865500.5,2.3522279300306255,48.88776439378448,651999.5,6865000.5,652999.5,6866000.5,1000000,0
RGEALTI_FXX_0652_6867_MNT_LAMB93_IGN69.asc,38.060001373291016,58.209999084472656,47.19389724731445,652499.5,6866500.5,2.3521160401499968,48.896757009517614,651999.5,6866000.5,652999.5,6867000.5,1000000,0
RGEALTI_FXX_0652_6868_MNT_LAMB93_IGN69.asc,31.440000534057617,49.33000183105469,38.94816970825195,652499.5,6867500.5,2.352004111610007,48.90574955128802,651999.5,6867000.5,652999.5,6868000.5,1000000,0
RGEALTI_FXX_0653_6858_MNT_LAMB93_IGN69.asc,51.97999954223633,66.91000366210938,60.23612976074219,653499.5,6857500.5,2.3667394175665555,48.81589373362116,652999.5,6857000.5,653999.5,6858000.5,1000000,0
RGEALTI_FXX_0653_6859_MNT_LAMB93_IGN69.asc,42.25,62.369998931884766,55.32328414916992,653499.5,6858500.5,2.366630184991418,48.8248869447731,652999.5,6858000.5,653999.5,6859000.5,1000000,0
RGEALTI_FXX_0653_6860_MNT_LAMB93_IGN69.asc,28.059999465942383,56.220001220703125,42.871463775634766,653499.5,6859500.5,2.366520914727031,48.83388008380308,652999.5,6859000.5,653999.5,6860000.5,1000000,0
RGEALTI_FXX_0653_6861_MNT_LAMB93_IGN69.asc,27.0,47.349998474121094,33.54147720336914,653499.5,6860500.5,2.3664116067538856,48.84287315048142,652999.5,6860000.5,653999.5,6861000.5,1000000,0
RGEALTI_FXX_0653_6862_MNT_LAMB93_IGN69.asc,26.989999771118164,39.43000030517578,34.50196838378906,653499.5,6861500.5,2.3663022610524598,48.85186614457834,652999.5,6861000.5,653999.5,6862000.5,1000000,0
RGEALTI_FXX_0653_6863_MNT_LAMB93_IGN69.asc,30.559999465942383,41.31999969482422,35.45086669921875,653499.5,6862500.5,2.3661928776032166,48.860859065864126,652999.5,6862000.5,653999.5,6863000.5,1000000,0
RGEALTI_FXX_0653_6864_MNT_LAMB93_IGN69.asc,29.700000762939453,54.36000061035156,38.248626708984375,653499.5,6863500.5,2.3660834563866064,48.86985191410898,652999.5,6863000.5,653999.5,6864000.5,1000000,0
RGEALTI_FXX_0653_6865_MNT_LAMB93_IGN69.asc,34.970001220703125,64.36000061035156,49.17630386352539,653499.5,6864500.5,2.3659739973830662,48.878844689083024,652999.5,6864000.5,653999.5,6865000.5,1000000,0
RGEALTI_FXX_0653_6866_MNT_LAMB93_IGN69.asc,40.90999984741211,58.5099983215332,50.408443450927734,653499.5,6865500.5,2.3658645005730192,48.88783739055644,652999.5,6865000.5,653999.5,6866000.5,1000000,0
RGEALTI_FXX_0653_6867_MNT_LAMB93_IGN69.asc,37.7599983215332,54.279998779296875,46.497188568115234,653499.5,6866500.5,2.3657549659368757,48.896830018299354,652999.5,6866000.5,653999.5,6867000.5,1000000,0
RGEALTI_FXX_0653_6868_MNT_LAMB93_IGN69.asc,34.119998931884766,46.970001220703125,39.711185455322266,653499.5,6867500.5,2.365645393455031,48.905822572081824,652999.5,6867000.5,653999.5,6868000.5,1000000,0
RGEALTI_FXX_0654_6858_MNT_LAMB93_IGN69.asc,30.1299991607666,65.08000183105469,44.33087158203125,654499.5,6857500.5,2.3803572130640878,48.815965083427265,653999.5,6857000.5,654999.5,6858000.5,1000000,0
RGEALTI_FXX_0654_6859_MNT_LAMB93_IGN69.asc,28.049999237060547,61.93000030517578,38.16510009765625,654499.5,6858500.5,2.3802503292587933,48.824958306315644,653999.5,6858000.5,654999.5,6859000.5,1000000,0
RGEALTI_FXX_0654_6860_MNT_LAMB93_IGN69.asc,26.520000457763672,46.130001068115234,34.69975280761719,654499.5,6859500.5,2.3801434085745607,48.83395145708431,653999.5,6859000.5,654999.5,6860000.5,1000000,0
RGEALTI_FXX_0654_6861_MNT_LAMB93_IGN69.asc,26.329999923706055,46.130001068115234,35.87343978881836,654499.5,6860500.5,2.3800364509923,48.842944535503534,653999.5,6860000.5,654999.5,6861000.5,1000000,0
RGEALTI_FXX_0654_6862_MNT_LAMB93_IGN69.asc,28.760000228881836,45.79999923706055,36.06471633911133,654499.5,6861500.5,2.3799294564929085,48.8519375413436,653999.5,6861000.5,654999.5,6862000.5,1000000,0
RGEALTI_FXX_0654_6863_MNT_LAMB93_IGN69.asc,31.100000381469727,59.06999969482422,43.43560028076172,654499.5,6862500.5,2.3798224250572693,48.860930474374754,653999.5,6862000.5,654999.5,6863000.5,1000000,0
